candidate_a,candidate_b,distance_m
亲新广场,逸夫楼副楼楼顶,745
亲新广场,永芳堂门口草坪,658
亲新广场,聚宝屋楼顶,226
逸夫楼副楼楼顶,永芳堂门口草坪,104
逸夫楼副楼楼顶,聚宝屋楼顶,719
永芳堂门口草坪,聚宝屋楼顶,616
